,lan,cat,precision,recall,f1
0,java,summary,0.010464544602227233,0.06629205755316514,0.03890542019816079
1,java,Ownership,0.0,0.0,0.0
2,java,Expand,0.2033523086654016,0.03594771241830069,0.12809601745771965
3,java,usage,0.005833629522028816,0.026365745623286196,0.017108040077687403
4,java,Pointer,0.03663674133472783,0.03265514678558146,0.03558293323670625
5,java,deprecation,0.08181818181818179,0.0,0.027692307692307683
6,java,rational,0.1319554848966614,0.07256509161041469,0.11749506003951968
7,pharo,Keyimplementationpoints,-0.02511172589912747,-0.15414184124543528,-0.092741935483871
8,pharo,Example,0.13654165283770325,0.08665966386554624,0.11144111144111135
9,pharo,Responsibilities,0.3742793791574279,0.16604127579737338,0.3103107666590684
10,pharo,Classreferences,0.5663716814159292,-0.515625,-0.15367231638418077
11,pharo,Intent,0.25135135135135134,0.31463414634146347,0.2846153846153846
12,pharo,Keymessages,0.10173160173160178,0.06976744186046502,0.0857336037863421
13,pharo,Collaborators,0.1271186440677966,-0.7035087719298245,-0.5545977011494254
14,python,Usage,0.22123745819398,0.18070565797838523,0.20045632333767927
15,python,Parameters,0.6608695652173913,0.2734375,0.5291005291005291
16,python,DevelopmentNotes,-0.3551136363636364,-0.3764227642276423,-0.36546489563567364
17,python,Expand,-0.1505882352941177,-0.2281976744186046,-0.18572825024437933
18,python,Summary,0.4484327603640041,0.14390243902439026,0.3625541125541126
